"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1826957796899733739","Fri Aug 23 23:43:05 +0000 2024","0","@Outstandjing Bro benar-benar berpikir manuvernya kali ini benar lu tau kenapa banyak yang memilih 02? Alasan mereka ya karena Prabowo. Mereka tutup mata banyak kecurangan ya karena Prabowo seperti Jokowi yang menunggangi PDIP. Pada akhirnya ini hanyalah perputaran kehidupan","1827129465128067492","","Outstandjing","in","","0","0","0","https://x.com/okesipgitu/status/1827129465128067492","1266648664472039426","okesipgitu"
"1827129460283621743","Fri Aug 23 23:43:04 +0000 2024","0","Dogma kacung manusia Gurun agama biadab @mohmahfudmd @MajelisUlamaID @MUIPusat @Kemenag_RI @DPR_RI @Itjen_Kemdikbud @kemkominfo @PolhukamRI @Kemendagri_RI @jokowi @nadiemmakarim @Kemdikbud_RI @na_dirs @DivHumas_Polri @KomnasHAM @aagym @BNPTRI @KPAI_official @ListyoSigitP?","1827129460283621743","","","in","Blue Earth, MN","0","0","0","https://x.com/jelasbukanonta/status/1827129460283621743","2687473422","jelasbukanonta"
"1826986730219765782","Fri Aug 23 23:43:04 +0000 2024","1","@Hm45T @H4T14K4LN4L42 @DPR_RI @jokowi Klo gak mau disalahkan jgn jd pemimpin. Jd tukang becak sj cocok buat dinasti jokowi n buzer2nya.","1827129460161966500","","Hm45T","in","Entre Ríos, Argentina","0","0","0","https://x.com/thomaschan456/status/1827129460161966500","1657741702353018882","thomaschan456"
"1826861173222113440","Fri Aug 23 23:43:00 +0000 2024","0","@is_pelssy Itu si botak ahoker di kontroversi metro udah mulai ngarang 90% yg demo di dpn DPR kmrn adlh tadinya pendukung jokowi... Gimana caramu bisa dpt angka 90%","1827129443535745184","","is_pelssy","in","Bandung, Jawa Barat","0","0","0","https://x.com/nisma_mokhtar/status/1827129443535745184","990658484193513473","nisma_mokhtar"
"1827129423168204834","Fri Aug 23 23:42:55 +0000 2024","19","Cara Cerdas Konten Kreator Kristo Immanuel Sentil RUU Pilkada dengan Tirukan Suara Jokowi https://t.co/7u49X1VRwf","1827129423168204834","","","in","","0","1","13","https://x.com/OposisiCerdas/status/1827129423168204834","887743587579944960","OposisiCerdas"
"1827128422675706213","Fri Aug 23 23:38:57 +0000 2024","0","Iya juga sih. PDIP yang bawa Jokowi ke Jakarta","1827128422675706213","","","in","","0","0","0","https://x.com/rachardiana_ayu/status/1827128422675706213","1606101187488776192","rachardiana_ayu"
"1826686668679925851","Fri Aug 23 23:38:55 +0000 2024","0","@ZulkifliLubis69 @officialMKRI @gibran_tweet @jokowi @kaesangp @DPR_RI Kurang ajar sekarang mah","1827128416430387376","","ZulkifliLubis69","in","Out of Jakarta - Indonesia","0","0","0","https://x.com/widy1892/status/1827128416430387376","438474388","widy1892"
"1826993126059454667","Fri Aug 23 23:38:48 +0000 2024","0","@sienchao @Anak__Ogi @Kimberley_PS08 @tham878 @jokowi Kalau mengikuti tulisan anda semua sudah setuju kenapa tidak langsung disahkan. Apakah lebih penting revisi uu pilkada dibandingkan ruu perampasan aset? Tanpa perlu googling cukup berpikir rasional","1827128385405157756","","sienchao","in","","0","0","0","https://x.com/Amotsky/status/1827128385405157756","217651975","Amotsky"
"1826986730219765782","Fri Aug 23 23:38:36 +0000 2024","1","@H4T14K4LN4L42 @redflower82 @DPR_RI @jokowi Tapi sayang yg posting munafik bencis dan blaass","1827128335950135387","","H4T14K4LN4L42","in","","0","0","0","https://x.com/1971Oepick/status/1827128335950135387","1559449657537097729","1971Oepick"
"1827009678980911496","Fri Aug 23 23:38:31 +0000 2024","0","@yogi_bubu Skalipun rekam jejak PS08 pernah ditikam dr belakang sama mega dan jokowi. Gua msh ga yakin PS08 bls dendam malah berharap jd jalan tengah antara mega &amp; jokowi. Andai benar 08 turun tangan dlm pembatalan RUU kemarin pun gua rasa ya pyur krn ga mau keributan ini membesar.","1827128317457396239","","yogi_bubu","in","Diberanda aja ga buka DM !!","0","1","0","https://x.com/iTeam_P4/status/1827128317457396239","1555372999393435648","iTeam_P4"
"1827126815363887316","Fri Aug 23 23:38:25 +0000 2024","0","Sebenarnya gambling juga PDIP - Gerindra waktu itu memajukan Pak Jokowi dan Pak Ahok sebenarnya Karena Pak Ahok ini merupakan seorang Kristen Protestan Waktu itu udah rame dan aku ngeh banget bahwa saat itu banyak sentimen negatif terkait Pemimpin Non Muslim","1827128289431056584","","admkuznetsov45","in","Jakarta,Indonesia","0","1","0","https://x.com/admkuznetsov45/status/1827128289431056584","1569607129","admkuznetsov45"
"1826971637159489983","Fri Aug 23 23:38:20 +0000 2024","0","@Belalangimutt @PreciosaKanti @kaesangp @Uki23 @grace_nat @jokowi Plus gak tau malu !","1827128267650036061","","Belalangimutt","in","England, United Kingdom","0","0","0","https://x.com/byubyu7/status/1827128267650036061","1162625966759272448","byubyu7"
"1827128251560685741","Fri Aug 23 23:38:16 +0000 2024","0","@jokowi lagunya cocok untuk keluargamu Mul.","1827128251560685741","","jokowi","in","S E L E C T I V E","0","0","0","https://x.com/skdmlrhwy/status/1827128251560685741","1469454368185352195","skdmlrhwy"
"1827128163878760695","Fri Aug 23 23:37:55 +0000 2024","0","temen gw kemarin bilang tetep aja nes aku kasian kalo jokowi dihujat kaya gt sama netizen dan gw jawab dih ogah politik dinasti meninggal aja dah tu sekeluarga ","1827128163878760695","","","in","rant ","0","1","0","https://x.com/thefeastt/status/1827128163878760695","1690771247041576960","thefeastt"
"1827127667386438041","Fri Aug 23 23:37:52 +0000 2024","1","@jokowi MALU KEK LO AH BANGSAT!","1827128152675733847","","cahayadeli_s","in","","0","0","0","https://x.com/cahayadeli_s/status/1827128152675733847","1128299361975226368","cahayadeli_s"
"1827017007331721326","Fri Aug 23 23:37:48 +0000 2024","0","@leonagustine @jokowi Sudah terlatih mentalnya.","1827128135013560336","","leonagustine","in","𓂺","0","0","0","https://x.com/idosdr/status/1827128135013560336","88379430","idosdr"
